 Teff [K],  E/N [Td], K0 [cm**2/Vs], CCS [A**2], uncertainty
  298.00,      0.00,      1.5470,      139.22,      1.32%
  348.00,     51.06,      1.5472,      129.51,      1.28%
  398.00,     72.67,      1.5491,      121.78,      1.25%
  448.00,     89.65,      1.5491,      115.51,      1.23%
  498.00,    104.36,      1.5475,      110.33,      1.20%
  548.00,    117.68,      1.5446,      105.98,      1.18%
  598.00,    130.06,      1.5405,      102.29,      1.16%
  648.00,    141.78,      1.5353,       99.13,      1.14%
  698.00,    152.98,      1.5293,       96.38,      1.13%
  748.00,    163.78,      1.5226,       93.97,      1.11%
  798.00,    174.26,      1.5153,       91.85,      1.10%
