Filename,Sum of electronic and thermal Free Energies
3_Hydroxycarbofuran_1.log,-822.192214
3_Hydroxycarbofuran_2.log,-822.183281
Acephate_1.log,-1178.778218
Acephate_2.log,-1178.759456
Acephate_3.log,-1178.780696
Acephate_4.log,-1178.759456
Acetamiprid_1.log,-1067.118969
Acetamiprid_2.log,-1067.075391
Acetamiprid_3.log,-1067.1076
Acetamiprid_4.log,-1067.107608
Acetamiprid_5.log,-1067.107611
Acibenzolar_S_methyl_1.log,-1289.833521
Acibenzolar_S_methyl_2.log,-1289.835532
Acibenzolar_S_methyl_3.log,-1289.820463
Acibenzolar_S_methyl_4.log,-1289.820358
Acibenzolar_S_methyl_5.log,-1289.823641
Alanycarb_1.log,-1924.489582
Alanycarb_2.log,-1924.490091
Alanycarb_3.log,-1924.50112
Alanycarb_4.log,-1924.496443
Alanycarb_5.log,-1924.497444
Alanycarb_6.log,-1924.490657
Alanycarb_7.log,-1924.492386
Alanycarb_8.log,-1924.490665
Alanycarb_9.log,-1924.497474
Aldicarb_1.log,-933.520748
Aldicarb_2.log,-933.517154
Aldicarb_3.log,-933.524642
Aldicarb_4.log,-933.524642
Aldicarb_5.log,-933.521775
Aldicarb_6.log,-933.521774
Aldicarb_7.log,-933.518069
Aldicarb_8.log,-933.515272
Aldicarb_sulfone_1.log,-1083.913852
Aldicarb_sulfone_2.log,-1083.910036
Aldicarb_sulfone_3.log,-1083.912791
Aldicarb_sulfone_4.log,-1083.913943
Aldicarb_sulfone_5.log,-1083.915163
Aldicarb_sulfone_6.log,-1083.915885
Aldicarb_sulfone_7.log,-1083.915888
Aldicarb_sulfoxide_1.log,-1008.724196
Aldicarb_sulfoxide_2.log,-1008.721903
Aldicarb_sulfoxide_3.log,-1008.707081
Aldicarb_sulfoxide_4.log,-1008.710399
Aldicarb_sulfoxide_5.log,-1008.708351
Aldicarb_sulfoxide_6.log,-1008.703983
Aldicarb_sulfoxide_7.log,-1008.703546
Aldicarb_sulfoxide_8.log,-1008.700742
Aldicarb_sulfoxide_9.log,-1008.708779
Ametryn_1.log,-1025.424149
Ametryn_10.log,-1025.367811
Ametryn_11.log,-1025.419438
Ametryn_2.log,-1025.416484
Ametryn_3.log,-1025.418291
Ametryn_4.log,-1025.424357
Ametryn_5.log,-1025.41657
Ametryn_6.log,-1025.419438
Ametryn_7.log,-1025.42545
Ametryn_8.log,-1025.424273
Ametryn_9.log,-1025.424527
Aminocarb_1.log,-688.969736
Aminocarb_2.log,-688.970135
Aminocarb_3.log,-688.9876
Amitraz_1.log,-902.296414
Amitraz_2.log,-902.304214
Amitraz_3.log,-902.301087
Amitraz_4.log,-902.301408
Amitraz_5.log,-902.295755
Amitraz_6.log,-902.295753
Amitraz_7.log,-902.292996
Azoxystrobin_1.log,-1389.096369
Azoxystrobin_10.log,-1389.105369
Azoxystrobin_11.log,-1389.122503
Azoxystrobin_12.log,-1389.098043
Azoxystrobin_13.log,-1389.110713
Azoxystrobin_14.log,-1389.110747
Azoxystrobin_2.log,-1389.109609
Azoxystrobin_3.log,-1389.114591
Azoxystrobin_4.log,-1389.122365
Azoxystrobin_5.log,-1389.097994
Azoxystrobin_6.log,-1389.100391
Azoxystrobin_7.log,-1389.111478
Azoxystrobin_8.log,-1389.119621
Azoxystrobin_9.log,-1389.117759
Benalaxyl_1.log,-1056.587775
Benalaxyl_2.log,-1056.587778
Benalaxyl_3.log,-1056.587779
Bendiocarb_1.log,-782.890977
Bendiocarb_2.log,-782.884631
Benfuracarb_1.log,-1664.116335
Benfuracarb_10.log,-1664.116705
Benfuracarb_2.log,-1664.116567
Benfuracarb_3.log,-1664.116558
Benfuracarb_4.log,-1664.115972
Benfuracarb_5.log,-1664.117786
Benfuracarb_6.log,-1664.121236
Benfuracarb_7.log,-1664.127865
Benfuracarb_8.log,-1664.114289
Benfuracarb_9.log,-1664.116705
Benzoximate_1.log,-1587.931006
Benzoximate_2.log,-1587.945058
Benzoximate_3.log,-1587.94244
Benzoximate_4.log,-1587.956924
Benzoximate_5.log,-1587.959675
Benzoximate_6.log,-1587.958232
